kanji,hiragana,english,done
赤,あか,red color,0
秋,あき,autumn; fall,0
飴,あめ,candy,0
雨,あめ,rain,0
姉,あね,older sister; elder sister,0
兄,あに,elder brother; older brother,0
青,あお,blue; azure,0
朝,あさ,morning,0
朝ご飯,あさごはん,breakfast,0
明後日,あさって,day after tomorrow,0
足,あし,foot; leg; paw,0
明日,あした,tomorrow,0
頭,あたま,head,0
後,あと,behind; after; remainder,0
晩ご飯,ばんごはん,dinner; evening meal,0
番号,ばんごう,number,0
勉強,べんきょう,to study,0
帽子,ぼうし,hat; cap,0
文章,ぶんしょう,sentence,0
豚肉,ぶたにく,pork,0
病院,びょういん,hospital,0
病気,びょうき,illness; disease; sickness,0
茶色,ちゃいろ,brown color,0